Nome,Sexo,Idade,Altura_cm,Peso_kg,Pais,Código_pais,Ano,Estação,Cidade,Esporte,Evento,Medalha,Altura_m,IMC,Pais_traduzido
George Richard Lycott Bovell,M,29.0,196.0,74.0,Trinidad and Tobago,TTO,2012,Verão,London,Natação,Natação Masculina 50 metros Livre,,1.96,19.2628071636818,Trinidad e Tobago
George Richard Lycott Bovell,M,29.0,196.0,74.0,Trinidad and Tobago,TTO,2012,Verão,London,Natação,Natação Masculino 100 metros Costas,,1.96,19.2628071636818,Trinidad e Tobago
George Richard Lycott Bovell,M,33.0,196.0,74.0,Trinidad and Tobago,TTO,2016,Verão,Rio de Janeiro,Natação,Natação Masculina 50 metros Livre,,1.96,19.2628071636818,Trinidad e Tobago
Scott Bowden,M,21.0,175.0,65.0,Australia,AUS,2016,Verão,Rio de Janeiro,Ciclismo,Ciclismo Masculino Prova de Estrada Individual,,1.75,21.224489795918366,Austrália
Scott Bowden,M,21.0,175.0,65.0,Australia,AUS,2016,Verão,Rio de Janeiro,Ciclismo,Ciclismo Masculino Mountainbike Cross Country,,1.75,21.224489795918366,Austrália
Alex Bowen,M,22.0,196.0,102.0,United States,USA,2016,Verão,Rio de Janeiro,Polo Aquático,Pólo Aquático Masculino,,1.96,26.55143690129113,Estados Unidos
"Kate Elizabeth ""Katie"" Bowen-Duncan",F,22.0,172.0,56.0,New Zealand,NZL,2016,Verão,Rio de Janeiro,Futebol,Futebol Feminino,,1.72,18.92915089237426,Nova Zelândia
"Frentorish ""Tori"" Bowie",F,25.0,175.0,58.0,United States,USA,2016,Verão,Rio de Janeiro,Atletismo,Atletismo Feminino 100 metros,Prata,1.75,18.93877551020408,Estados Unidos
"Frentorish ""Tori"" Bowie",F,25.0,175.0,58.0,United States,USA,2016,Verão,Rio de Janeiro,Atletismo,Atletismo Feminino 200 metros,Bronze,1.75,18.93877551020408,Estados Unidos
"Frentorish ""Tori"" Bowie",F,25.0,175.0,58.0,United States,USA,2016,Verão,Rio de Janeiro,Atletismo,Revezamento 4 x 100 metros Feminino Atletismo,Ouro,1.75,18.93877551020408,Estados Unidos
Daniel Bowker,M,28.0,191.0,89.0,Australia,AUS,2016,Verão,Rio de Janeiro,Canoagem,Canoagem Masculina Kayak Duplo 200 metros,,1.91,24.39626106740495,Austrália
Dennis Chester Bowsher,M,29.0,175.0,73.0,United States,USA,2012,Verão,London,Pentatlo Moderno,Pentatlo Moderno Masculino Individual,,1.75,23.836734693877553,Estados Unidos
Brenda Bowskill,F,24.0,170.0,68.0,Canada,CAN,2016,Verão,Rio de Janeiro,Vela,Vela Feminina Um Pessoal Dinghy,,1.7,23.529411764705884,Canadá
Shannon Leigh Boxx,F,35.0,172.0,67.0,United States,USA,2012,Verão,London,Futebol,Futebol Feminino,Ouro,1.72,22.647376960519203,Estados Unidos
Philipp Boy,M,25.0,172.0,67.0,Germany,GER,2012,Verão,London,Ginástica,Ginástica Masculina Individual Geral,,1.72,22.647376960519203,Alemanha
Philipp Boy,M,25.0,172.0,67.0,Germany,GER,2012,Verão,London,Ginástica,Ginástica Masculina Equipe Geral,,1.72,22.647376960519203,Alemanha
Philipp Boy,M,25.0,172.0,67.0,Germany,GER,2012,Verão,London,Ginástica,Ginástica Masculina Exercício no Solo,,1.72,22.647376960519203,Alemanha
Philipp Boy,M,25.0,172.0,67.0,Germany,GER,2012,Verão,London,Ginástica,Ginástica Masculina Barras Paralelas,,1.72,22.647376960519203,Alemanha
Philipp Boy,M,25.0,172.0,67.0,Germany,GER,2012,Verão,London,Ginástica,Ginástica Masculina Barra Fixa,,1.72,22.647376960519203,Alemanha
Philipp Boy,M,25.0,172.0,67.0,Germany,GER,2012,Verão,London,Ginástica,Ginástica Masculina Argolas,,1.72,22.647376960519203,Alemanha
Philipp Boy,M,25.0,172.0,67.0,Germany,GER,2012,Verão,London,Ginástica,Ginástica Masculina Cavalo com Alças,,1.72,22.647376960519203,Alemanha
Brendan Boyce,M,25.0,183.0,76.0,Ireland,IRL,2012,Verão,London,Atletismo,Atletismo Masculino 50 km Marcha,,1.83,22.694018931589476,Irlanda
Brendan Boyce,M,29.0,183.0,76.0,Ireland,IRL,2016,Verão,Rio de Janeiro,Atletismo,Atletismo Masculino 50 km Marcha,,1.83,22.694018931589476,Irlanda
Fiona Boyce,F,25.0,169.0,60.0,Australia,AUS,2012,Verão,London,Hóquei,Hóquei Feminino,,1.69,21.007667798746546,Austrália
Alana Boyd,F,28.0,171.0,59.0,Australia,AUS,2012,Verão,London,Atletismo,Atletismo Feminino Salto com Vara,,1.71,20.177148524332274,Austrália
Alana Boyd,F,32.0,171.0,59.0,Australia,AUS,2016,Verão,Rio de Janeiro,Atletismo,Atletismo Feminino Salto com Vara,,1.71,20.177148524332274,Austrália
"Danielle ""Dannie"" Boyd",F,26.0,178.0,71.0,Canada,CAN,2016,Verão,Rio de Janeiro,Vela,Vela Feminina Skiff,,1.78,22.408786769347305,Canadá
Marine Clmence Boyer,F,16.0,162.0,52.0,France,FRA,2016,Verão,Rio de Janeiro,Ginástica,Ginástica Feminina Equipe Geral,,1.62,19.81405273586343,França
Marine Clmence Boyer,F,16.0,162.0,52.0,France,FRA,2016,Verão,Rio de Janeiro,Ginástica,Ginástica Feminina Solo,,1.62,19.81405273586343,França
Marine Clmence Boyer,F,16.0,162.0,52.0,France,FRA,2016,Verão,Rio de Janeiro,Ginástica,Ginástica Feminina Trave,,1.62,19.81405273586343,França
Lauren Marie Boyle,F,24.0,183.0,67.0,New Zealand,NZL,2012,Verão,London,Natação,Natação Feminina 400 metros Livre,,1.83,20.00656932126967,Nova Zelândia
Lauren Marie Boyle,F,24.0,183.0,67.0,New Zealand,NZL,2012,Verão,London,Natação,Natação Feminina 800 metros Livre,,1.83,20.00656932126967,Nova Zelândia
Lauren Marie Boyle,F,28.0,183.0,67.0,New Zealand,NZL,2016,Verão,Rio de Janeiro,Natação,Natação Feminina 400 metros Livre,,1.83,20.00656932126967,Nova Zelândia
Lauren Marie Boyle,F,28.0,183.0,67.0,New Zealand,NZL,2016,Verão,Rio de Janeiro,Natação,Natação Feminina 800 metros Livre,,1.83,20.00656932126967,Nova Zelândia
Francisco Boza Dibos,M,51.0,176.0,95.0,Peru,PER,2016,Verão,Rio de Janeiro,Tiro Esportivo,Tiro Masculino Fossa,,1.76,30.668904958677686,Peru
Islam Meyrambekovich Bozbayev,M,21.0,182.0,81.0,Kazakhstan,KAZ,2012,Verão,London,Judô,Judô Masculino Meio Médio,,1.82,24.453568409612362,Cazaquistão
Georgi Bozhilov,M,27.0,201.0,107.0,Bulgaria,BUL,2016,Verão,Rio de Janeiro,Remo,Remo Masculino Dupla de Remo,,2.01,26.484492958095103,Bulgária
Borut Boi,M,31.0,178.0,69.0,Slovenia,SLO,2012,Verão,London,Ciclismo,Ciclismo Masculino Prova de Estrada Individual,,1.78,21.777553339224845,Eslovênia
Luka Boi,M,21.0,173.0,72.0,Slovenia,SLO,2012,Verão,London,Canoagem,Canoagem Masculina Dobro Canadense Slalom,,1.73,24.0569347455645,Eslovênia
Luka Boi,M,25.0,173.0,72.0,Slovenia,SLO,2016,Verão,Rio de Janeiro,Canoagem,Canoagem Masculina Dobro Canadense Slalom,,1.73,24.0569347455645,Eslovênia
Elisa Bozzo,F,29.0,170.0,58.0,Italy,ITA,2016,Verão,Rio de Janeiro,Nado Sincronizado,Nado Sincronizado Feminino Equipe,,1.7,20.06920415224914,Itália
Frederik Lindbg Brsting,M,21.0,184.0,78.0,Denmark,DEN,2016,Verão,Rio de Janeiro,Futebol,Futebol Masculino,,1.84,23.03875236294896,Dinamarca
Roel Hubertus Braas,M,25.0,200.0,100.0,Netherlands,NED,2012,Verão,London,Remo,Remo Masculino Oito com Cargueiro,,2.0,25.0,Países Baixos
Roel Hubertus Braas,M,29.0,200.0,100.0,Netherlands,NED,2016,Verão,Rio de Janeiro,Remo,Remo Masculino Casal Sem Cargueiro,,2.0,25.0,Países Baixos
"Jules Timothy ""Tim"" Brabants",M,35.0,189.0,88.0,Great Britain,GBR,2012,Verão,London,Canoagem,Canoagem Masculina Canoa Individual 1.000 metros,,1.89,24.635368550712467,Reino Unido
Daniele Bracciali,M,34.0,180.0,78.0,Italy,ITA,2012,Verão,London,Tênis,Tênis Duplas Mistas,,1.8,24.074074074074073,Itália
Daniele Bracciali,M,34.0,180.0,78.0,Italy,ITA,2012,Verão,London,Tênis,Tênis Masculino Duplas,,1.8,24.074074074074073,Itália
Josu Brachi Garca,M,23.0,156.0,56.0,Spain,ESP,2016,Verão,Rio de Janeiro,Levantamento de Peso,Levantamento de Peso Masculino Peso Galo,,1.56,23.011176857330703,Espanha
Marvin Bracy,M,22.0,175.0,78.0,United States,USA,2016,Verão,Rio de Janeiro,Atletismo,Atletismo Masculino 100 metros,,1.75,25.46938775510204,Estados Unidos
Sophie Elizabeth Bradley,F,22.0,169.0,59.0,Great Britain,GBR,2012,Verão,London,Futebol,Futebol Feminino,,1.69,20.65754000210077,Reino Unido
Rui Pedro Rebelo Bragana,M,24.0,180.0,58.0,Portugal,POR,2016,Verão,Rio de Janeiro,Taekwondo,Taekwondo Masculino Peso Mosca,,1.8,17.901234567901234,Portugal
Rachel Emily Bragg,F,27.0,185.0,74.0,Great Britain,GBR,2012,Verão,London,Voleibol,Vôlei Feminino,,1.85,21.62162162162162,Reino Unido
Pablo Dominic Brgger,M,23.0,169.0,64.0,Switzerland,SUI,2016,Verão,Rio de Janeiro,Ginástica,Ginástica Masculina Individual Geral,,1.69,22.40817898532965,Suíça
Pablo Dominic Brgger,M,23.0,169.0,64.0,Switzerland,SUI,2016,Verão,Rio de Janeiro,Ginástica,Ginástica Masculina Equipe Geral,,1.69,22.40817898532965,Suíça
Pablo Dominic Brgger,M,23.0,169.0,64.0,Switzerland,SUI,2016,Verão,Rio de Janeiro,Ginástica,Ginástica Masculina Exercício no Solo,,1.69,22.40817898532965,Suíça
Pablo Dominic Brgger,M,23.0,169.0,64.0,Switzerland,SUI,2016,Verão,Rio de Janeiro,Ginástica,Ginástica Masculina Barras Paralelas,,1.69,22.40817898532965,Suíça
Pablo Dominic Brgger,M,23.0,169.0,64.0,Switzerland,SUI,2016,Verão,Rio de Janeiro,Ginástica,Ginástica Masculina Barra Fixa,,1.69,22.40817898532965,Suíça
Pablo Dominic Brgger,M,23.0,169.0,64.0,Switzerland,SUI,2016,Verão,Rio de Janeiro,Ginástica,Ginástica Masculina Argolas,,1.69,22.40817898532965,Suíça
Pablo Dominic Brgger,M,23.0,169.0,64.0,Switzerland,SUI,2016,Verão,Rio de Janeiro,Ginástica,Ginástica Masculina Cavalo com Alças,,1.69,22.40817898532965,Suíça
Luca Braidot,M,25.0,179.0,69.0,Italy,ITA,2016,Verão,Rio de Janeiro,Ciclismo,Ciclismo Masculino Mountainbike Cross Country,,1.79,21.534908398614277,Itália
Oscar Ren Braison Vidal,M,27.0,188.0,135.0,Cuba,CUB,2012,Verão,London,Judô,Judô Masculino Peso Pesado,,1.88,38.19601629696695,Cuba
Michael Braithwaite,M,25.0,189.0,91.0,Canada,CAN,2012,Verão,London,Remo,Remo Masculino Dupla de Remo,,1.89,25.475210660395845,Canadá
Janez Brajkovi,M,28.0,178.0,60.0,Slovenia,SLO,2012,Verão,London,Ciclismo,Ciclismo Masculino Prova de Estrada Individual,,1.78,18.93700290367378,Eslovênia
Janez Brajkovi,M,28.0,178.0,60.0,Slovenia,SLO,2012,Verão,London,Ciclismo,Ciclismo Masculino Contra o Tempo Individual,,1.78,18.93700290367378,Eslovênia
Michael Brake,M,21.0,187.0,91.0,New Zealand,NZL,2016,Verão,Rio de Janeiro,Remo,Remo Masculino Oito com Cargueiro,,1.87,26.023048986244955,Nova Zelândia
Jovana Brakoevi-Kancian,F,24.0,196.0,82.0,Serbia,SRB,2012,Verão,London,Voleibol,Vôlei Feminino,,1.96,21.345272802998753,Sérvia
Jovana Brakoevi-Kancian,F,28.0,196.0,82.0,Serbia,SRB,2016,Verão,Rio de Janeiro,Voleibol,Vôlei Feminino,Prata,1.96,21.345272802998753,Sérvia
Mario Alfonso Bran Granillo,M,26.0,168.0,64.0,Guatemala,GUA,2016,Verão,Rio de Janeiro,Atletismo,Atletismo Masculino 50 km Marcha,,1.68,22.67573696145125,Guatemala
Cristina Direito Branco,F,27.0,172.0,68.0,Angola,ANG,2012,Verão,London,Handebol,Handebol Feminino,,1.72,22.985397512168742,Angola
Cristina Direito Branco,F,31.0,172.0,68.0,Angola,ANG,2016,Verão,Rio de Janeiro,Handebol,Handebol Feminino,,1.72,22.985397512168742,Angola
Isabel Brand Leu,F,20.0,169.0,53.0,Guatemala,GUA,2016,Verão,Rio de Janeiro,Pentatlo Moderno,Pentatlo Moderno Feminino Individual,,1.69,18.556773222226116,Guatemala
David Karl Brandl,M,25.0,187.0,82.0,Austria,AUT,2012,Verão,London,Natação,Natação Masculino 200 metros Livre,,1.87,23.449340844748203,Áustria
David Karl Brandl,M,25.0,187.0,82.0,Austria,AUT,2012,Verão,London,Natação,Natação Masculina Revezamento 4 x 200 metros Livre,,1.87,23.449340844748203,Áustria
David Karl Brandl,M,29.0,187.0,82.0,Austria,AUT,2016,Verão,Rio de Janeiro,Natação,Natação Masculino 400 metros Livre,,1.87,23.449340844748203,Áustria
Nadine Brandl,F,22.0,168.0,53.0,Austria,AUT,2012,Verão,London,Nado Sincronizado,Nado Sincronizado Feminino Dueto,,1.68,18.77834467120182,Áustria
Dorothea Brandt,F,32.0,178.0,70.0,Germany,GER,2016,Verão,Rio de Janeiro,Natação,Natação Feminino 50 metros Livre,,1.78,22.093170054286073,Alemanha
Julian Brandt,M,20.0,183.0,83.0,Germany,GER,2016,Verão,Rio de Janeiro,Futebol,Futebol Masculino,Prata,1.83,24.78425751739377,Alemanha
"Nathan ""Nate"" Brannen",M,29.0,174.0,58.0,Canada,CAN,2012,Verão,London,Atletismo,Atletismo Masculino 1.500 Metros,,1.74,19.157088122605362,Canadá
"Nathan ""Nate"" Brannen",M,33.0,174.0,58.0,Canada,CAN,2016,Verão,Rio de Janeiro,Atletismo,Atletismo Masculino 1.500 Metros,,1.74,19.157088122605362,Canadá
Mara Branz,F,26.0,170.0,68.0,Argentina,ARG,2016,Verão,Rio de Janeiro,Vela,Vela Feminina Skiff,,1.7,23.529411764705884,Argentina
Ana Maria Florentina Brnz-Popescu,F,27.0,175.0,64.0,Romania,ROU,2012,Verão,London,Esgrima,Esgrima Feminino Epee Individual,,1.75,20.897959183673468,Romênia
Ana Maria Florentina Brnz-Popescu,F,27.0,175.0,64.0,Romania,ROU,2012,Verão,London,Esgrima,Esgrima Feminina Espada por Equipes,,1.75,20.897959183673468,Romênia
Ana Maria Florentina Brnz-Popescu,F,31.0,175.0,64.0,Romania,ROU,2016,Verão,Rio de Janeiro,Esgrima,Esgrima Feminino Epee Individual,,1.75,20.897959183673468,Romênia
Ana Maria Florentina Brnz-Popescu,F,31.0,175.0,64.0,Romania,ROU,2016,Verão,Rio de Janeiro,Esgrima,Esgrima Feminina Espada por Equipes,Ouro,1.75,20.897959183673468,Romênia
Scott Brash,M,26.0,171.0,64.0,Great Britain,GBR,2012,Verão,London,Hipismo,Hipismo Misto Salto Individual,,1.71,21.887076365377382,Reino Unido
Scott Brash,M,26.0,171.0,64.0,Great Britain,GBR,2012,Verão,London,Hipismo,Equitação Mista Salto por Equipes,Ouro,1.71,21.887076365377382,Reino Unido
Daniel Brata,M,27.0,185.0,100.0,Romania,ROU,2012,Verão,London,Judô,Judô Masculino Meio Pesado,,1.85,29.218407596785973,Romênia
Ryan Brathwaite,M,24.0,185.0,77.0,Barbados,BAR,2012,Verão,London,Atletismo,Atletismo Masculino 110 metros com Barreiras,,1.85,22.498173849525198,Barbados
Shane Brathwaite,M,22.0,182.0,77.0,Barbados,BAR,2012,Verão,London,Atletismo,Atletismo Masculino 110 metros com Barreiras,,1.82,23.24598478444632,Barbados
Georgi Sashkov Bratoev,M,24.0,202.0,88.0,Bulgaria,BUL,2012,Verão,London,Voleibol,Vôlei Masculino,,2.02,21.56651308695226,Bulgária
Valentin Sashkov Bratoev,M,24.0,201.0,87.0,Bulgaria,BUL,2012,Verão,London,Voleibol,Vôlei Masculino,,2.01,21.53412044256331,Bulgária
Lisen Nina Magdalena Bratt (-Fredricson),F,36.0,172.0,65.0,Sweden,SWE,2012,Verão,London,Hipismo,Hipismo Misto Salto Individual,,1.72,21.971335857220122,Suécia
Lisen Nina Magdalena Bratt (-Fredricson),F,36.0,172.0,65.0,Sweden,SWE,2012,Verão,London,Hipismo,Equitação Mista Salto por Equipes,,1.72,21.971335857220122,Suécia
Yannick Brauchli,M,23.0,173.0,63.0,Switzerland,SUI,2012,Verão,London,Vela,Vela Masculina Dingue para Duas Pessoas,,1.73,21.04981790236894,Suíça
Yannick Brauchli,M,28.0,173.0,63.0,Switzerland,SUI,2016,Verão,Rio de Janeiro,Vela,Vela Masculina Dingue para Duas Pessoas,,1.73,21.04981790236894,Suíça
Sarah-Anne Brault,F,26.0,171.0,65.0,Canada,CAN,2016,Verão,Rio de Janeiro,Triatlo,Triatlo Feminino Distância Olímpica,,1.71,22.229061933586404,Canadá
Anton Braun,M,22.0,202.0,104.0,Germany,GER,2012,Verão,London,Remo,Remo Masculino Casal Sem Cargueiro,,2.02,25.487697284579944,Alemanha
Anton Braun,M,26.0,202.0,104.0,Germany,GER,2016,Verão,Rio de Janeiro,Remo,Remo Masculino Quatro Sem Cargueiro,,2.02,25.487697284579944,Alemanha
Pieter Braun,M,23.0,186.0,83.0,Netherlands,NED,2016,Verão,Rio de Janeiro,Atletismo,Atletismo Masculino Decatlo,,1.86,23.991212856977683,Países Baixos
Albert Idel Bravo Morales,M,24.0,199.0,88.0,Venezuela,VEN,2012,Verão,London,Atletismo,Atletismo Masculino 400 metros,,1.99,22.22166106916492,Venezuela
Albert Idel Bravo Morales,M,24.0,199.0,88.0,Venezuela,VEN,2012,Verão,London,Atletismo,Revezamento 4 x 400 metros Masculino,,1.99,22.22166106916492,Venezuela
Albert Idel Bravo Morales,M,28.0,199.0,88.0,Venezuela,VEN,2016,Verão,Rio de Janeiro,Atletismo,Atletismo Masculino 400 metros,,1.99,22.22166106916492,Venezuela
Albert Idel Bravo Morales,M,28.0,199.0,88.0,Venezuela,VEN,2016,Verão,Rio de Janeiro,Atletismo,Revezamento 4 x 400 metros Masculino,,1.99,22.22166106916492,Venezuela
Cterin Bravo Arnguiz,F,36.0,173.0,63.0,Chile,CHI,2012,Verão,London,Esgrima,Esgrima Feminino Epee Individual,,1.73,21.04981790236894,Chile
Elizabeth Mara Bravo iguez,F,25.0,160.0,49.0,Ecuador,ECU,2012,Verão,London,Triatlo,Triatlo Feminino Distância Olímpica,,1.6,19.140624999999996,Equador
Elizabeth Mara Bravo iguez,F,29.0,160.0,49.0,Ecuador,ECU,2016,Verão,Rio de Janeiro,Triatlo,Triatlo Feminino Distância Olímpica,,1.6,19.140624999999996,Equador
Marina Bravo Bragado,F,27.0,173.0,68.0,Spain,ESP,2016,Verão,Rio de Janeiro,Rúgbi de Sete,Rugby Sevens Feminino,,1.73,22.720438370810918,Espanha
Osmar Bravo Amador,M,27.0,180.0,81.0,Nicaragua,NCA,2012,Verão,London,Boxe,Boxe Masculino Meio Pesado,,1.8,25.0,Nicarágua
Sophie Charlotte Bray,F,26.0,164.0,58.0,Great Britain,GBR,2016,Verão,Rio de Janeiro,Hóquei,Hóquei Feminino,Ouro,1.64,21.564544913741823,Reino Unido
Thiago Braz da Silva,M,22.0,183.0,75.0,Brazil,BRA,2016,Verão,Rio de Janeiro,Atletismo,Atletismo Masculino Salto com Vara,Ouro,1.83,22.395413419331717,Brasil
Kelly Brazier,F,26.0,171.0,70.0,New Zealand,NZL,2016,Verão,Rio de Janeiro,Rúgbi de Sete,Rugby Sevens Feminino,Prata,1.71,23.938989774631512,Nova Zelândia
Dominic Angelo Breazeale,M,26.0,201.0,116.0,United States,USA,2012,Verão,London,Boxe,Boxe Masculino Super Peso Pesado,,2.01,28.712160590084412,Estados Unidos
Stefano Brecciaroli,M,37.0,177.0,71.0,Italy,ITA,2012,Verão,London,Hipismo,Hipismo Misturado Evento de Três Dias Individual,,1.77,22.66270867247598,Itália
Stefano Brecciaroli,M,41.0,177.0,71.0,Italy,ITA,2016,Verão,Rio de Janeiro,Hipismo,Hipismo Misturado Evento de Três Dias Individual,,1.77,22.66270867247598,Itália
Stefano Brecciaroli,M,41.0,177.0,71.0,Italy,ITA,2016,Verão,Rio de Janeiro,Hipismo,Hipismo Misturado Evento de Três Dias Equipe,,1.77,22.66270867247598,Itália
Elson Viney-Bartel Brechtefeld,M,22.0,155.0,56.0,Nauru,NRU,2016,Verão,Rio de Janeiro,Levantamento de Peso,Levantamento de Peso Masculino Peso Galo,,1.55,23.309053069719038,Nauru
Melissa Breen,F,21.0,174.0,65.0,Australia,AUS,2012,Verão,London,Atletismo,Atletismo Feminino 100 metros,,1.74,21.469150482230148,Austrália
Melissa Breen,F,25.0,174.0,65.0,Australia,AUS,2016,Verão,Rio de Janeiro,Atletismo,Atletismo Feminino 100 metros,,1.74,21.469150482230148,Austrália
Vincent Breet,M,23.0,195.0,92.0,South Africa,RSA,2016,Verão,Rio de Janeiro,Remo,Remo Masculino Quatro Sem Cargueiro,,1.95,24.194608809993426,África do Sul
Andre Breitbarth,M,26.0,191.0,125.0,Germany,GER,2016,Verão,Rio de Janeiro,Judô,Judô Masculino Peso Pesado,,1.91,34.264411611523805,Alemanha
Nils Brembach,M,23.0,184.0,70.0,Germany,GER,2016,Verão,Rio de Janeiro,Atletismo,Atletismo Masculino 20 km Marcha,,1.84,20.6758034026465,Alemanha
Sebastian Brendel,M,24.0,192.0,92.0,Germany,GER,2012,Verão,London,Canoagem,Canoagem Masculina Individual Canadense 200 metros,,1.92,24.95659722222222,Alemanha
Sebastian Brendel,M,24.0,192.0,92.0,Germany,GER,2012,Verão,London,Canoagem,Canoagem Masculina Individual Canadense 1.000 metros,Ouro,1.92,24.95659722222222,Alemanha
Sebastian Brendel,M,28.0,192.0,92.0,Germany,GER,2016,Verão,Rio de Janeiro,Canoagem,Canoagem Masculina Individual Canadense 1.000 metros,Ouro,1.92,24.95659722222222,Alemanha
Sebastian Brendel,M,28.0,192.0,92.0,Germany,GER,2016,Verão,Rio de Janeiro,Canoagem,Canoagem Masculina Duplas Canadenses 1.000 metros,Ouro,1.92,24.95659722222222,Alemanha
Nery Antonio Brenes Crdenas,M,26.0,175.0,70.0,Costa Rica,CRC,2012,Verão,London,Atletismo,Atletismo Masculino 400 metros,,1.75,22.857142857142858,Costa Rica
Nery Antonio Brenes Crdenas,M,30.0,175.0,70.0,Costa Rica,CRC,2016,Verão,Rio de Janeiro,Atletismo,Atletismo Masculino 200 metros,,1.75,22.857142857142858,Costa Rica
Nery Antonio Brenes Crdenas,M,30.0,175.0,70.0,Costa Rica,CRC,2016,Verão,Rio de Janeiro,Atletismo,Atletismo Masculino 400 metros,,1.75,22.857142857142858,Costa Rica
Ashleigh Jade Brennan,F,21.0,154.0,43.0,Australia,AUS,2012,Verão,London,Ginástica,Ginástica Feminina Individual Geral,,1.54,18.13121942992073,Austrália
Ashleigh Jade Brennan,F,21.0,154.0,43.0,Australia,AUS,2012,Verão,London,Ginástica,Ginástica Feminina Equipe Geral,,1.54,18.13121942992073,Austrália
Ashleigh Jade Brennan,F,21.0,154.0,43.0,Australia,AUS,2012,Verão,London,Ginástica,Ginástica Feminina Solo,,1.54,18.13121942992073,Austrália
Ashleigh Jade Brennan,F,21.0,154.0,43.0,Australia,AUS,2012,Verão,London,Ginástica,Ginástica Feminina Barras Assimétricas,,1.54,18.13121942992073,Austrália
Ashleigh Jade Brennan,F,21.0,154.0,43.0,Australia,AUS,2012,Verão,London,Ginástica,Ginástica Feminina Trave,,1.54,18.13121942992073,Austrália
Scott Michael Brennan,M,29.0,193.0,89.0,Australia,AUS,2012,Verão,London,Remo,Remo Masculino Dupla de Remo,,1.93,23.893258879433006,Austrália
Lisa Brennauer,F,24.0,168.0,63.0,Germany,GER,2012,Verão,London,Ciclismo,Ciclismo Feminino Perseguição por Equipes,,1.68,22.321428571428577,Alemanha
Lisa Brennauer,F,28.0,168.0,63.0,Germany,GER,2016,Verão,Rio de Janeiro,Ciclismo,Ciclismo Feminino Prova de Estrada Individual,,1.68,22.321428571428577,Alemanha
Lisa Brennauer,F,28.0,168.0,63.0,Germany,GER,2016,Verão,Rio de Janeiro,Ciclismo,Ciclismo Feminino Contra o Tempo Individual,,1.68,22.321428571428577,Alemanha
Klaudia Bre,F,22.0,158.0,52.0,Poland,POL,2016,Verão,Rio de Janeiro,Tiro Esportivo,Tiro Feminino Pistola Ar 10 metros,,1.58,20.82999519307803,Polônia
Klaudia Bre,F,22.0,158.0,52.0,Poland,POL,2016,Verão,Rio de Janeiro,Tiro Esportivo,Tiro Feminino Pistola Esportiva 25 metros,,1.58,20.82999519307803,Polônia
Matti Breschel,M,27.0,182.0,68.0,Denmark,DEN,2012,Verão,London,Ciclismo,Ciclismo Masculino Prova de Estrada Individual,,1.82,20.528921627822726,Dinamarca
Renan Bardini Bressan,M,23.0,182.0,70.0,Belarus,BLR,2012,Verão,London,Futebol,Futebol Masculino,,1.82,21.132713440405748,Bielorrússia
Julie Bresset,F,23.0,167.0,53.0,France,FRA,2012,Verão,London,Ciclismo,Ciclismo Feminino Mountainbike Cross Country,Ouro,1.67,19.003908350962746,França
Luis Brethauer,M,19.0,176.0,82.0,Germany,GER,2012,Verão,London,Ciclismo,Ciclismo Masculino BMX,,1.76,26.47210743801653,Alemanha
Luis Brethauer,M,23.0,176.0,82.0,Germany,GER,2016,Verão,Rio de Janeiro,Ciclismo,Ciclismo Masculino BMX,,1.76,26.47210743801653,Alemanha
Andreas Bretschneider,M,26.0,167.0,60.0,Germany,GER,2016,Verão,Rio de Janeiro,Ginástica,Ginástica Masculina Individual Geral,,1.67,21.513858510523864,Alemanha
Andreas Bretschneider,M,26.0,167.0,60.0,Germany,GER,2016,Verão,Rio de Janeiro,Ginástica,Ginástica Masculina Equipe Geral,,1.67,21.513858510523864,Alemanha
Andreas Bretschneider,M,26.0,167.0,60.0,Germany,GER,2016,Verão,Rio de Janeiro,Ginástica,Ginástica Masculina Exercício no Solo,,1.67,21.513858510523864,Alemanha
Andreas Bretschneider,M,26.0,167.0,60.0,Germany,GER,2016,Verão,Rio de Janeiro,Ginástica,Ginástica Masculina Barras Paralelas,,1.67,21.513858510523864,Alemanha
Andreas Bretschneider,M,26.0,167.0,60.0,Germany,GER,2016,Verão,Rio de Janeiro,Ginástica,Ginástica Masculina Barra Fixa,,1.67,21.513858510523864,Alemanha
Andreas Bretschneider,M,26.0,167.0,60.0,Germany,GER,2016,Verão,Rio de Janeiro,Ginástica,Ginástica Masculina Argolas,,1.67,21.513858510523864,Alemanha
Andreas Bretschneider,M,26.0,167.0,60.0,Germany,GER,2016,Verão,Rio de Janeiro,Ginástica,Ginástica Masculina Cavalo com Alças,,1.67,21.513858510523864,Alemanha
Marine Grace Brevet,F,21.0,162.0,52.0,France,FRA,2016,Verão,Rio de Janeiro,Ginástica,Ginástica Feminina Individual Geral,,1.62,19.81405273586343,França
Marine Grace Brevet,F,21.0,162.0,52.0,France,FRA,2016,Verão,Rio de Janeiro,Ginástica,Ginástica Feminina Equipe Geral,,1.62,19.81405273586343,França
Marine Grace Brevet,F,21.0,162.0,52.0,France,FRA,2016,Verão,Rio de Janeiro,Ginástica,Ginástica Feminina Solo,,1.62,19.81405273586343,França
Marine Grace Brevet,F,21.0,162.0,52.0,France,FRA,2016,Verão,Rio de Janeiro,Ginástica,Ginástica Feminina Barras Assimétricas,,1.62,19.81405273586343,França
